IsTextUnicode	advapi32
InitCommonControlsEx	comctl32
PrivateExtractIconsW	comctl32
ImageList_CoCreateInstance	comctl32
CreateFontIndirectW	gdi32
GetDeviceCaps	gdi32
CreatePatternBrush	gdi32
CreateSolidBrush	gdi32
GetStockObject	gdi32
CreateRectRgn	gdi32
CreateICA	gdi32
CreateCompatibleDC	gdi32
CreateDCA	gdi32
CreateCompatibleBitmap	gdi32
GetDIBits	gdi32
DeleteObject	gdi32
TranslateCharsetInfo	gdi32
CreatePalette	gdi32
SelectPalette	gdi32
GetObjectW	gdi32
GetCurrentObject	gdi32
CreateDIBitmap	gdi32
SelectObject	gdi32
SetStretchBltMode	gdi32
SetBkColor	gdi32
SetTextColor	gdi32
GetDIBColorTable	gdi32
StretchDIBits	gdi32
CreateBitmap	gdi32
BitBlt	gdi32
DeleteDC	gdi32
GetTextMetricsW	gdi32
CreateRoundRectRgn	gdi32
GetViewportExtEx	gdi32
GetWindowExtEx	gdi32
GetLayout	gdi32
GetGlyphIndicesW	gdi32
GetTextAlign	gdi32
GetTextCharsetInfo	gdi32
GetClipRgn	gdi32
IntersectClipRect	gdi32
GetMapMode	gdi32
GetObjectType	gdi32
GetObjectA	gdi32
GetOutlineTextMetricsW	gdi32
GetFontData	gdi32
GetTextFaceW	gdi32
ExtSelectClipRgn	gdi32
CreateDIBSection	gdi32
SetDIBits	gdi32
SaveDC	gdi32
GetClipBox	gdi32
CreateRectRgnIndirect	gdi32
ExtTextOutW	gdi32
SetBkMode	gdi32
GetCurrentPositionEx	gdi32
GetBkMode	gdi32
SetTextAlign	gdi32
MoveToEx	gdi32
SelectClipRgn	gdi32
CombineRgn	gdi32
LPtoDP	gdi32
GetRandomRgn	gdi32
GetRegionData	gdi32
GetViewportOrgEx	gdi32
SetICMMode	gdi32
SetMapMode	gdi32
SetViewportOrgEx	gdi32
SetWindowOrgEx	gdi32
SetROP2	gdi32
ModifyWorldTransform	gdi32
GetDCOrgEx	gdi32
StretchBlt	gdi32
RestoreDC	gdi32
GetTextExtentPoint32W	gdi32
TextOutW	gdi32
GetBitmapBits	gdi32
SetBitmapBits	gdi32
CreateICW	gdi32
EnumFontFamiliesExW	gdi32
GetOutlineTextMetricsA	gdi32
Rectangle	gdi32
SetDIBitsToDevice	gdi32
GetTextCharacterExtra	gdi32
CreateFontA	gdi32
RoundRect	gdi32
ExcludeClipRect	gdi32
PatBlt	gdi32
GetPixel	gdi32
GetEnhMetaFileW	gdi32
GetBitmapDimensionEx	gdi32
RealizePalette	gdi32
GdiplusStartup	gdiplus
GdipLoadImageFromStream	gdiplus
GdipCreateBitmapFromStream	gdiplus
GdipGetImagePixelFormat	gdiplus
GdipGetImageHeight	gdiplus
GdipGetImageWidth	gdiplus
GdipBitmapLockBits	gdiplus
GdipBitmapUnlockBits	gdiplus
GdipDisposeImage	gdiplus
GdipCreateBitmapFromScan0	gdiplus
GdipGetImageGraphicsContext	gdiplus
GdipCreateSolidFill	gdiplus
GdipDrawImageRectI	gdiplus
GdipDeleteBrush	gdiplus
GdipDeleteGraphics	gdiplus
GdipCreateFromHDC	gdiplus
GdipGetPropertyItemSize	gdiplus
GetForegroundWindow	gdiplus
GdipSetInterpolationMode	gdiplus
GdipCreatePen1	gdiplus
GdipDrawRectangleI	gdiplus
GdipFillRectangleI	gdiplus
GdipCreateFontFromLogfontW	gdiplus
GdipDrawString	gdiplus
GdipDeleteFont	gdiplus
GdipDrawLineI	gdiplus
GdipCreateBitmapFromHBITMAP	gdiplus
GdipGetImageEncodersSize	gdiplus
GdipGetImageEncoders	gdiplus
GdipSaveImageToFile	gdiplus
GdipCreateBitmapFromFileICM	gdiplus
GdipDrawImageRectRectI	gdiplus
ImmGetConversionStatus	imm32
ImmGetContext	imm32
ImmGetDefaultIMEWnd	imm32
ImmSetCompositionWindow	imm32
ImmSetCompositionFontW	imm32
ImmReleaseContext	imm32
ImmNotifyIME	imm32
ImmEnumInputContext	imm32
GlobalAddAtomW	kernel32
FindAtomW	kernel32
GetThreadPreferredUILanguages	kernel32
GlobalFindAtomW	kernel32
GlobalGetAtomNameW	kernel32
GlobalDeleteAtom	kernel32
FindAtomA	kernel32
GetTimeFormatW	kernel32
GetACP	kernelbase
GetCPInfo	kernelbase
LCMapStringW	kernelbase
GetFileVersionInfoSizeW	kernelbase
GetFileVersionInfoW	kernelbase
VerQueryValueW	kernelbase
CompareStringW	kernelbase
IsDBCSLeadByte	kernelbase
CharPrevA	kernelbase
CharNextA	kernelbase
LCMapStringEx	kernelbase
GetThreadLocale	kernelbase
lstrcmpiA	kernelbase
CompareStringOrdinal	kernelbase
GetLocaleInfoEx	kernelbase
GetSystemDefaultLCID	kernelbase
FindResourceW	kernelbase
LoadResource	kernelbase
SizeofResource	kernelbase
LockResource	kernelbase
lstrcmpA	kernelbase
GetLocaleInfoW	kernelbase
CompareStringA	kernelbase
CharLowerA	kernelbase
lstrcmpW	kernelbase
CharPrevW	kernelbase
GetSystemDefaultUILanguage	kernelbase
GetUserDefaultLCID	kernelbase
ConvertDefaultLocale	kernelbase
IsValidLocale	kernelbase
CharUpperW	kernelbase
GetUserDefaultLocaleName	kernelbase
GetUserDefaultLangID	kernelbase
GetSystemDefaultLangID	kernelbase
CharLowerW	kernelbase
FreeResource	kernelbase
GetUserDefaultUILanguage	kernelbase
GetThreadUILanguage	kernelbase
EnumResourceNamesExW	kernelbase
GetCPInfoExW	kernelbase
GetOEMCP	kernelbase
RegisterClassW	user32
CreateWindowExW	user32
GetGUIThreadInfo	user32
IsProcessDPIAware	user32
GetDC	user32
ReleaseDC	user32
GetWindowDC	user32
IsWindow	user32
GetPropW	user32
DefWindowProcW	user32
GetClassLongW	user32
GetWindowLongW	user32
SetPropW	user32
RegisterWindowMessageW	user32
DestroyWindow	user32
RemovePropW	user32
UnregisterClassW	user32
RegisterWindowMessageA	user32
SetWindowsHookExW	user32
RegisterClassA	user32
RegisterClipboardFormatW	user32
RegisterClassExW	user32
EnumDisplayMonitors	user32
GetMonitorInfoA	user32
EnumDisplayDevicesA	user32
SetTimer	user32
CreateWindowExA	user32
ChangeWindowMessageFilter	user32
DefWindowProcA	user32
LoadIconW	user32
LoadCursorW	user32
GetClassInfoW	user32
SetWindowLongW	user32
FindResourceExW	user32
CallWindowProcW	user32
DwmSetWindowAttribute	user32
GetClientRect	user32
SetWindowPos	user32
IsIconic	user32
GetKeyboardLayout	user32
ChangeWindowMessageFilterEx	user32
LoadStringW	user32
SetWinEventHook	user32
GetWindowThreadProcessId	user32
GetFocus	user32
SendMessageW	user32
KillTimer	user32
PostThreadMessageW	user32
RegisterTouchWindow	user32
GetWindowRect	user32
OffsetRect	user32
SetWindowRgn	user32
GetWindow	user32
InvalidateRect	user32
MonitorFromWindow	user32
GetMonitorInfoW	user32
IsRectEmpty	user32
IntersectRect	user32
DrawTextW	user32
SetProcessDPIAware	user32
GetWindowRgnBox	user32
GetClassNameW	user32
GetAncestor	user32
MapWindowPoints	user32
PostMessageW	user32
InternalGetWindowText	user32
GetWindowTextW	user32
GetWindowInfo	user32
IsZoomed	user32
SetRectEmpty	user32
InflateRect	user32
SetRect	user32
SendMessageTimeoutW	user32
GetTitleBarInfo	user32
EnumChildWindows	user32
EnumDisplaySettingsW	user32
EnumDisplayDevicesW	user32
GetQueueStatus	user32
PeekMessageW	user32
TranslateMessage	user32
DispatchMessageW	user32
CallMsgFilterW	user32
GetParent	user32
LoadImageW	user32
ShowWindow	user32
SetForegroundWindow	user32
IsHungAppWindow	user32
GetMessageW	user32
ScreenToClient	user32
GetCursorPos	user32
PtInRect	user32
GetKeyState	user32
SetCursor	user32
TrackMouseEvent	user32
GetUpdateRect	user32
BeginPaint	user32
EndPaint	user32
EqualRect	user32
UpdateLayeredWindow	user32
GetIconInfo	user32
DestroyIcon	user32
SetFocus	user32
SetCapture	user32
ReleaseCapture	user32
GetClassNameA	user32
GetShellWindow	user32
SendNotifyMessageW	user32
MonitorFromRect	user32
DrawIconEx	user32
CopyImage	user32
GetDoubleClickTime	user32
GetKeyboardLayoutList	user32
RegisterClipboardFormatA	user32
HideCaret	user32
IsWindowVisible	user32
SetLayeredWindowAttributes	user32
RegisterHotKey	user32
FindWindowW	user32
InSendMessageEx	user32
IsTouchWindow	user32
UnregisterTouchWindow	user32
wvsprintfW	user32
GetMessageExtraInfo	user32
ShowCaret	user32
UpdateWindow	user32
CreateCaret	user32
SetCaretPos	user32
GetCaretPos	user32
ClientToScreen	user32
GetAsyncKeyState	user32
ValidateRect	user32
DestroyCaret	user32
GetDesktopWindow	user32
FindWindowA	user32
FindWindowExA	user32
FillRect	user32
GetDCEx	user32
BringWindowToTop	user32
SwitchToThisWindow	user32
WindowFromPoint	user32
wsprintfW	user32
OpenClipboard	user32
EmptyClipboard	user32
SetClipboardData	user32
CloseClipboard	user32
PostMessageA	user32
EnumThreadWindows	user32
GetActiveWindow	user32
GetClipboardData	user32
MonitorFromPoint	user32
UnregisterHotKey	user32
PostQuitMessage	user32
UnhookWindowsHookEx	user32
UnregisterClassA	user32
UnhookWinEvent	user32
GetClassInfoExW	user32
